hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
cambridge,0,2,0.002340,0.982910,bellman,0.000000,0
cambridge,0,3,0.002340,0.982920,bellman,0.000000,1
cambridge,0,4,0.002340,0.999040,bellman,0.000000,2
cambridge,0,5,0.002340,0.999140,bellman,0.000000,3
cambridge,1,2,0.002900,0.610130,bellman,0.000000,0
cambridge,1,3,0.002900,0.610270,bellman,0.000000,1
cambridge,1,4,0.002900,0.662380,bellman,0.000000,2
cambridge,1,5,0.002900,0.662530,bellman,0.000000,3
hanoi,0,2,0.001610,0.994500,bellman,0.000000,0
hanoi,0,3,0.001610,0.994500,bellman,0.000000,1
hanoi,0,4,0.001610,0.999900,bellman,0.000000,2
hanoi,0,5,0.001610,0.999910,bellman,0.000000,3
hanoi,1,2,0.001220,0.915710,bellman,0.000000,0
hanoi,1,3,0.001220,0.915720,bellman,0.000000,1
hanoi,1,4,0.001220,0.979880,bellman,0.000000,2
hanoi,1,5,0.001220,0.979880,bellman,0.000000,4
jakarta,0,2,0.000770,0.984000,bellman,0.000000,0
jakarta,0,3,0.000770,0.984000,bellman,0.000000,1
jakarta,0,4,0.000770,0.999240,bellman,0.000000,2
jakarta,0,5,0.000770,0.999240,bellman,0.000000,4
jakarta,1,2,0.001120,0.944490,bellman,0.000000,0
jakarta,1,3,0.001120,0.944500,bellman,0.000000,1
jakarta,1,4,0.001120,0.991090,bellman,0.000000,2
jakarta,1,5,0.001120,0.991100,bellman,0.000000,3
ourense,0,2,0.000930,0.984750,bellman,0.000000,0
ourense,0,3,0.000930,0.984750,bellman,0.000000,1
ourense,0,4,0.000930,0.999260,bellman,0.000000,2
ourense,0,5,0.000930,0.999310,bellman,0.000000,3
ourense,1,2,0.000820,0.945410,bellman,0.000000,0
ourense,1,3,0.000820,0.945420,bellman,0.000000,1
ourense,1,4,0.000820,0.991380,bellman,0.000000,2
ourense,1,5,0.000820,0.991380,bellman,0.000000,4
washington,0,2,0.009620,0.997150,bellman,0.000000,0
washington,0,3,0.009620,0.997150,bellman,0.000000,1
washington,0,4,0.009620,0.999920,bellman,0.000000,2
washington,0,5,0.009620,0.999980,bellman,0.000000,3
washington,1,2,0.004620,0.677210,bellman,0.000000,0
washington,1,3,0.004620,0.677250,bellman,0.000000,1
washington,1,4,0.004620,0.754650,bellman,0.000000,2
washington,1,5,0.004620,0.754700,bellman,0.000000,3
yorktown,0,2,0.000800,0.972310,bellman,0.000000,0
yorktown,0,3,0.000800,0.972320,bellman,0.000000,1
yorktown,0,4,0.000800,0.997740,bellman,0.000000,2
yorktown,0,5,0.000800,0.997740,bellman,0.000000,4
yorktown,1,2,0.000820,0.707810,bellman,0.000000,0
yorktown,1,3,0.000820,0.707890,bellman,0.000000,1
yorktown,1,4,0.000820,0.793710,bellman,0.000000,2
yorktown,1,5,0.000820,0.793760,bellman,0.000000,4
athens,0,2,0.001560,0.989820,bellman,0.000000,0
athens,0,3,0.001560,0.989820,bellman,0.000000,1
athens,0,4,0.001560,0.999610,bellman,0.000000,2
athens,0,5,0.001560,0.999690,bellman,0.000000,3
athens,1,2,0.000710,0.975710,bellman,0.000000,0
athens,1,3,0.000710,0.975730,bellman,0.000000,1
athens,1,4,0.000710,0.998260,bellman,0.000000,2
athens,1,5,0.000710,0.998260,bellman,0.000000,4
auckland,0,2,0.001350,0.994450,bellman,0.000000,0
auckland,0,3,0.001350,0.994450,bellman,0.000000,1
auckland,0,4,0.001350,0.999860,bellman,0.000000,2
auckland,0,5,0.001350,0.999910,bellman,0.000000,3
auckland,1,2,0.001770,0.980730,bellman,0.000000,0
auckland,1,3,0.001770,0.980730,bellman,0.000000,1
auckland,1,4,0.001770,0.998830,bellman,0.000000,2
auckland,1,5,0.001770,0.998900,bellman,0.000000,3
essex,0,2,0.001630,0.968820,bellman,0.000000,0
essex,0,3,0.001630,0.968840,bellman,0.000000,1
essex,0,4,0.001630,0.996700,bellman,0.000000,2
essex,0,5,0.001630,0.997170,bellman,0.000000,3
essex,1,2,0.001690,0.943790,bellman,0.000000,0
essex,1,3,0.001690,0.943840,bellman,0.000000,1
essex,1,4,0.001690,0.990510,bellman,0.000000,2
essex,1,5,0.001690,0.990930,bellman,0.000000,3
kyiv,0,2,0.004470,0.998230,bellman,0.000000,0
kyiv,0,3,0.004470,0.998230,bellman,0.000000,1
kyiv,0,4,0.004470,0.999930,bellman,0.000000,2
kyiv,0,5,0.004470,0.999990,bellman,0.000000,3
kyiv,1,2,0.003500,0.503240,bellman,0.000000,0
kyiv,1,3,0.003500,0.503270,bellman,0.000000,1
kyiv,1,4,0.003500,0.504820,bellman,0.000000,2
kyiv,1,5,0.003500,0.504850,bellman,0.000000,4
prague,0,2,0.001520,0.992700,bellman,0.000000,0
prague,0,3,0.001520,0.992700,bellman,0.000000,1
prague,0,4,0.001520,0.999840,bellman,0.000000,2
prague,0,5,0.001520,0.999840,bellman,0.000000,4
prague,1,2,0.002690,0.897070,bellman,0.000000,0
prague,1,3,0.002690,0.897130,bellman,0.000000,1
prague,1,4,0.002690,0.970320,bellman,0.000000,2
prague,1,5,0.002690,0.970410,bellman,0.000000,3
perfect_hardware,0,2,0.000400,1.000000,bellman,0.000000,5
perfect_hardware,0,3,0.000400,1.000000,bellman,0.000000,6
perfect_hardware,0,4,0.000400,1.000000,bellman,0.000000,7
perfect_hardware,0,5,0.000400,1.000000,bellman,0.000000,8
melbourne,0,2,0.001520,0.973450,bellman,0.000000,0
melbourne,0,3,0.001520,0.973460,bellman,0.000000,1
