hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.500000,bellman
algiers,1,0,0.500000,bellman
almaden,0,0,0.500000,bellman
almaden,1,0,0.500000,bellman
almaden,2,0,0.500000,bellman
athens,0,0,0.500000,bellman
athens,1,0,0.500000,bellman
athens,2,0,0.500000,bellman
auckland,0,0,0.500000,bellman
auckland,1,0,0.500000,bellman
belem,0,0,0.500000,bellman
belem,1,0,0.500000,bellman
belem,2,0,0.500000,bellman
boeblingen,0,0,0.500000,bellman
boeblingen,1,0,0.500000,bellman
bogota,0,0,0.500000,bellman
bogota,1,0,0.500000,bellman
bogota,2,0,0.500000,bellman
brooklyn,0,0,0.500000,bellman
brooklyn,1,0,0.500000,bellman
brooklyn,2,0,0.500000,bellman
burlington,0,0,0.500000,bellman
burlington,1,0,0.500000,bellman
burlington,2,0,0.500000,bellman
cairo,0,0,0.500000,bellman
cairo,1,0,0.500000,bellman
cambridge,0,0,0.500000,bellman
cambridge,1,0,0.500000,bellman
cambridge,2,0,0.500000,bellman
casablanca,0,0,0.500000,bellman
casablanca,1,0,0.500000,bellman
casablanca,2,0,0.500000,bellman
casablanca,3,0,0.500000,bellman
casablanca,4,0,0.500000,bellman
essex,0,0,0.500000,bellman
essex,1,0,0.500000,bellman
essex,2,0,0.500000,bellman
geneva,0,0,0.500000,bellman
geneva,1,0,0.500000,bellman
geneva,2,0,0.500000,bellman
guadalupe,0,0,0.500000,bellman
guadalupe,1,0,0.500000,bellman
guadalupe,2,0,0.500000,bellman
hanoi,0,0,0.500000,bellman
hanoi,1,0,0.500000,bellman
hanoi,2,0,0.500000,bellman
jakarta,0,0,0.500000,bellman
jakarta,1,0,0.500000,bellman
jakarta,2,0,0.500000,bellman
jakarta,3,0,0.500000,bellman
jakarta,4,0,0.500000,bellman
johannesburg,0,0,0.500000,bellman
johannesburg,1,0,0.500000,bellman
johannesburg,2,0,0.500000,bellman
kolkata,0,0,0.500000,bellman
kolkata,1,0,0.500000,bellman
kolkata,2,0,0.500000,bellman
lagos,0,0,0.500000,bellman
lagos,1,0,0.500000,bellman
lagos,2,0,0.500000,bellman
lagos,3,0,0.500000,bellman
lagos,4,0,0.500000,bellman
lima,0,0,0.500000,bellman
lima,1,0,0.500000,bellman
lima,2,0,0.500000,bellman
london,0,0,0.500000,bellman
london,1,0,0.500000,bellman
london,2,0,0.500000,bellman
melbourne,0,0,0.500000,bellman
melbourne,1,0,0.500000,bellman
manhattan,0,0,0.500000,bellman
manhattan,1,0,0.500000,bellman
manhattan,2,0,0.500000,bellman
manila,0,0,0.500000,bellman
manila,1,0,0.500000,bellman
manila,2,0,0.500000,bellman
montreal,0,0,0.500000,bellman
montreal,1,0,0.500000,bellman
mumbai,0,0,0.500000,bellman
mumbai,1,0,0.500000,bellman
mumbai,2,0,0.500000,bellman
nairobi,0,0,0.500000,bellman
nairobi,1,0,0.500000,bellman
nairobi,2,0,0.500000,bellman
nairobi,3,0,0.500000,bellman
nairobi,4,0,0.500000,bellman
oslo,0,0,0.500000,bellman
oslo,1,0,0.500000,bellman
oslo,2,0,0.500000,bellman
oslo,3,0,0.500000,bellman
oslo,4,0,0.500000,bellman
ourense,0,0,0.500000,bellman
ourense,1,0,0.500000,bellman
ourense,2,0,0.500000,bellman
paris,0,0,0.500000,bellman
paris,1,0,0.500000,bellman
paris,2,0,0.500000,bellman
perth,0,0,0.500000,bellman
perth,1,0,0.500000,bellman
perth,2,0,0.500000,bellman
perth,3,0,0.500000,bellman
perth,4,0,0.500000,bellman
poughkeepsie,0,0,0.500000,bellman
poughkeepsie,1,0,0.500000,bellman
poughkeepsie,2,0,0.500000,bellman
quito,0,0,0.500000,bellman
quito,1,0,0.500000,bellman
quito,2,0,0.500000,bellman
rochester,0,0,0.500000,bellman
rochester,1,0,0.500000,bellman
rome,0,0,0.500000,bellman
rome,1,0,0.500000,bellman
rome,2,0,0.500000,bellman
santiago,0,0,0.500000,bellman
santiago,1,0,0.500000,bellman
santiago,2,0,0.500000,bellman
singapore,0,0,0.500000,bellman
singapore,1,0,0.500000,bellman
singapore,2,0,0.500000,bellman
sydney,0,0,0.500000,bellman
sydney,1,0,0.500000,bellman
sydney,2,0,0.500000,bellman
