hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
algiers,0,1,0.050920,0.665600,convex,0.000000,0
algiers,0,2,0.050920,0.666660,convex,0.000000,1
algiers,0,3,0.050920,0.748720,convex,9.000000,2
algiers,1,1,0.075520,0.653880,convex,0.000000,3
algiers,1,2,0.075520,0.665900,convex,0.000000,4
algiers,1,3,0.075520,0.733130,convex,9.000000,5
almaden,0,1,0.036430,0.663300,convex,0.000000,6
almaden,0,2,0.036430,0.666620,convex,0.000000,7
almaden,0,3,0.036430,0.745920,convex,9.000000,8
almaden,1,1,0.037420,0.607330,convex,0.000000,9
almaden,1,2,0.037420,0.636670,convex,0.000000,10
almaden,1,3,0.037420,0.656600,convex,10.000000,11
athens,0,1,0.047060,0.664410,convex,0.000000,12
athens,0,2,0.047060,0.666640,convex,0.000000,13
athens,0,3,0.047060,0.747280,convex,9.000000,14
athens,1,1,0.048540,0.661180,convex,0.000000,15
athens,1,2,0.048540,0.666530,convex,0.000000,16
athens,1,3,0.048540,0.743280,convex,9.000000,17
auckland,0,1,0.059140,0.665440,convex,0.000000,18
auckland,0,2,0.059140,0.666660,convex,0.000000,19
auckland,0,3,0.059140,0.748530,convex,9.000000,20
auckland,1,1,0.072210,0.662340,convex,0.000000,21
auckland,1,2,0.072210,0.666580,convex,0.000000,22
auckland,1,3,0.072210,0.744740,convex,9.000000,23
belem,0,1,0.045730,0.657210,convex,0.000000,24
belem,0,2,0.045730,0.666250,convex,0.000000,25
belem,0,3,0.045730,0.738000,convex,11.000000,26
belem,1,1,0.082440,0.662030,convex,0.000000,27
belem,1,2,0.082440,0.666570,convex,0.000000,28
belem,1,3,0.082440,0.744360,convex,11.000000,29
boeblingen,0,1,0.055220,0.663710,convex,0.000000,30
boeblingen,0,2,0.055220,0.666630,convex,0.000000,31
boeblingen,0,3,0.055220,0.746470,convex,11.000000,32
boeblingen,1,1,0.047190,0.617530,convex,0.000000,33
boeblingen,1,2,0.047190,0.653650,convex,0.000000,34
boeblingen,1,3,0.047190,0.674170,convex,10.000000,35
bogota,0,1,0.047590,0.660530,convex,0.000000,36
bogota,0,2,0.047590,0.666490,convex,0.000000,37
bogota,0,3,0.047590,0.742470,convex,9.000000,38
bogota,1,1,0.049090,0.653600,convex,0.000000,39
bogota,1,2,0.049090,0.665870,convex,0.000000,40
bogota,1,3,0.049090,0.732690,convex,9.000000,41
brisbane,0,1,0.156760,0.603330,convex,0.000000,42
brisbane,0,2,0.156760,0.630250,convex,0.000000,43
brisbane,0,3,0.156760,0.640970,convex,11.000000,44
brisbane,1,1,0.182330,0.665410,convex,0.000000,18
brisbane,1,2,0.182330,0.666660,convex,0.000000,45
brisbane,1,3,0.182330,0.748510,convex,12.000000,20
brooklyn,0,1,0.071260,0.663870,convex,0.000000,46
brooklyn,0,2,0.071260,0.666630,convex,0.000000,47
brooklyn,0,3,0.071260,0.746650,convex,10.000000,48
brooklyn,1,1,0.082040,0.646190,convex,0.000000,49
brooklyn,1,2,0.082040,0.664670,convex,0.000000,50
brooklyn,1,3,0.082040,0.720560,convex,9.000000,51
burlington,0,1,0.032820,0.661130,convex,0.000000,15
burlington,0,2,0.032820,0.666530,convex,0.000000,52
burlington,0,3,0.032820,0.743220,convex,9.000000,17
burlington,1,1,0.032740,0.655530,convex,0.000000,53
burlington,1,2,0.032740,0.666090,convex,0.000000,54
burlington,1,3,0.032740,0.735560,convex,9.000000,55
cairo,0,1,0.044780,0.665530,convex,0.000000,56
cairo,0,2,0.044780,0.666660,convex,0.000000,57
cairo,0,3,0.044780,0.748630,convex,9.000000,58
cairo,1,1,0.067630,0.629850,convex,0.000000,59
cairo,1,2,0.067630,0.659900,convex,0.000000,60
cairo,1,3,0.067630,0.693610,convex,9.000000,61
cambridge,0,1,0.045780,0.662850,convex,0.000000,62
cambridge,0,2,0.045780,0.666600,convex,0.000000,63
cambridge,0,3,0.045780,0.745360,convex,9.000000,64
cambridge,1,1,0.046750,0.549550,convex,0.000000,65
cambridge,1,2,0.046750,0.555000,convex,0.000000,66
cambridge,1,3,0.046750,0.573130,convex,9.000000,67
casablanca,0,1,0.046930,0.663440,convex,0.000000,68
casablanca,0,2,0.046930,0.666620,convex,0.000000,69
casablanca,0,3,0.046930,0.745970,convex,9.000000,8
casablanca,1,1,0.052830,0.659260,convex,0.000000,70
casablanca,1,2,0.052830,0.666410,convex,0.000000,71
casablanca,1,3,0.052830,0.740730,convex,9.000000,72
cusco,0,1,0.047560,0.665030,convex,0.000000,73
cusco,0,2,0.047560,0.666650,convex,0.000000,74
cusco,0,3,0.047560,0.748070,convex,9.000000,75
cusco,1,1,0.180470,0.500000,convex,0.000000,76
cusco,1,2,0.180470,0.500980,convex,0.000000,77
cusco,1,3,0.180470,0.500980,convex,10.000000,78
essex,0,1,0.033680,0.659700,convex,0.000000,79
essex,0,2,0.033680,0.666440,convex,0.000000,80
essex,0,3,0.033680,0.741230,convex,9.000000,81
essex,1,1,0.033040,0.653790,convex,0.000000,82
essex,1,2,0.033040,0.665890,convex,0.000000,83
essex,1,3,0.033040,0.732990,convex,9.000000,84
fez,0,1,0.050750,0.666340,convex,0.000000,85
fez,0,2,0.050750,0.666670,convex,0.000000,86
fez,0,3,0.050750,0.749580,convex,9.000000,87
fez,1,1,0.176570,0.641330,convex,0.000000,88
fez,1,2,0.176570,0.663560,convex,0.000000,89
